run_id,level,planner,seed,lap_time,gates_passed,success,collisions,n_replans,mean_solve_ms,max_solve_ms,mean_contour_err,min_clearance
pmm_lvl2_seed-1_run0,2,pmm,-1,5.78,3,0,0,0,27.46958994153076,42.79934299120214,0.1699662287039694,nan
pmm_lvl2_seed-1_run1,2,pmm,-1,5.34,4,1,0,0,27.2882860558978,41.20286300894804,0.12147345971873084,nan
pmm_lvl2_seed-1_run2,2,pmm,-1,5.3,4,1,0,0,29.14215487648367,48.67494199424982,0.0798899890709488,nan
pmm_lvl2_seed-1_run3,2,pmm,-1,4.3,4,1,0,0,28.14058557420072,51.11458100145683,0.09300032601302692,nan
pmm_lvl2_seed-1_run4,2,pmm,-1,5.08,3,0,0,0,26.773646438845855,37.22338999796193,0.11629458105358055,nan
pmm_lvl2_seed-1_run5,2,pmm,-1,5.08,4,1,0,0,27.985364270531207,56.46150800748728,0.10806747309975515,nan
pmm_lvl2_seed-1_run6,2,pmm,-1,5.14,3,0,0,0,26.967627992975352,35.56706001108978,0.12019402762557804,nan
pmm_lvl2_seed-1_run7,2,pmm,-1,5.08,3,0,0,0,31.200919188810147,59.36141399433836,0.12194984796596564,nan
pmm_lvl2_seed-1_run8,2,pmm,-1,5.54,3,0,0,0,29.221416453183075,51.4301590010291,0.14387239803232485,nan
pmm_lvl2_seed-1_run9,2,pmm,-1,4.78,4,1,0,0,27.749827258230653,37.39105199929327,0.09265181986956432,nan
pmm_lvl2_seed-1_run10,2,pmm,-1,4.84,4,1,0,0,26.490406843403896,33.27840598649345,0.10718035867019399,nan
pmm_lvl2_seed-1_run11,2,pmm,-1,4.56,4,1,0,0,27.481888878089578,51.73467499844264,0.12361887015110802,nan
pmm_lvl2_seed-1_run12,2,pmm,-1,4.68,4,1,0,0,27.600794033756717,34.647997992578894,0.12685281456297914,nan
pmm_lvl2_seed-1_run13,2,pmm,-1,2.14,1,0,0,0,28.602258175885286,51.42713799432386,0.07464870603726378,nan
pmm_lvl2_seed-1_run14,2,pmm,-1,4.82,4,1,0,0,26.664662751845903,30.39486100897193,0.16082787789989172,nan
pmm_lvl2_seed-1_run15,2,pmm,-1,5.76,2,0,0,0,29.066726879108373,47.93920100200921,0.16841770067741407,nan
pmm_lvl2_seed-1_run16,2,pmm,-1,3.92,4,1,0,0,26.836413461912947,44.29929600155447,0.12836642026090822,nan
pmm_lvl2_seed-1_run17,2,pmm,-1,3.6,2,0,0,0,29.383673680028416,42.9717209917726,0.09168673667022331,nan
