t,x,y,z,vx,vy,vz,ref_x,ref_y,ref_z,theta,s
0.0,-1.5259462594985962,0.7223343253135681,0.013339834287762642,0.006744696758687496,0.004245994612574577,-0.2004132717847824,nan,nan,nan,nan,nan
0.02,-1.5259300470352173,0.7222510576248169,0.007884716615080833,0.005642753094434738,-0.009600473567843437,-0.34651803970336914,nan,nan,nan,nan,nan
0.04,-1.5256927013397217,0.7220631241798401,-0.00012723721738439053,0.020029013976454735,-0.011414410546422005,-0.4525512456893921,nan,nan,nan,nan,nan
0.06,-1.5256463289260864,0.7220064401626587,-0.0010000000474974513,-0.0030365700367838144,-0.003437448525801301,-0.004434632603079081,nan,nan,nan,nan,nan
0.08,-1.5256410837173462,0.7219704389572144,-0.0010000000474974513,0.001894656103104353,0.0017398565541952848,-0.002491600578650832,nan,nan,nan,nan,nan
0.1,-1.5253827571868896,0.7219532132148743,-0.0009640711359679699,0.03393806144595146,-0.00537341833114624,0.0008843991672620177,nan,nan,nan,nan,nan
0.12,-1.524349570274353,0.7215396165847778,-0.0006569327088072896,0.07404131442308426,-0.03205287829041481,0.02418052777647972,nan,nan,nan,nan,nan
0.14,-1.522490382194519,0.7209630608558655,0.0001087746350094676,0.12599851191043854,-0.03474101424217224,0.05881738290190697,nan,nan,nan,nan,nan
0.16,-1.5193995237350464,0.720190703868866,0.0016073121223598719,0.18405908346176147,-0.03638111799955368,0.08776547014713287,nan,nan,nan,nan,nan
0.18,-1.5154880285263062,0.7192264199256897,0.0037213184405118227,0.21704110503196716,-0.06435619294643402,0.1241365298628807,nan,nan,nan,nan,nan
0.2,-1.5106061697006226,0.7179133296012878,0.006628245580941439,0.27661779522895813,-0.07105036079883575,0.16258752346038818,nan,nan,nan,nan,nan
0.22,-1.5045074224472046,0.7165828347206116,0.010478850454092026,0.33623039722442627,-0.06152874976396561,0.2181963324546814,nan,nan,nan,nan,nan
0.24,-1.4973987340927124,0.7154010534286499,0.01541401632130146,0.3825770914554596,-0.05675370991230011,0.2754931151866913,nan,nan,nan,nan,nan
