t,solve_time_ms,sqp_iters,qp_status,cost
0.0,27.181173994904384,-1,0,nan
0.02,27.20547199714929,-1,0,nan
0.04,27.746697000111453,-1,0,nan
0.06,28.95319799426943,-1,0,nan
0.08,28.690799008472823,-1,0,nan
0.1,27.268845005892217,-1,0,nan
0.12,28.49214199522976,-1,0,nan
0.14,27.740942998207174,-1,0,nan
0.16,28.863158004241996,-1,0,nan
0.18,29.104158995323814,-1,0,nan
0.2,25.7832190109184,-1,0,nan
0.22,26.01929599768482,-1,0,nan
0.24,28.004997002426535,-1,0,nan
0.26,26.390583007014357,-1,0,nan
0.28,25.796405010623857,-1,0,nan
0.3,25.678817997686565,-1,0,nan
0.32,27.475280992803164,-1,0,nan
0.34,26.88931199372746,-1,0,nan
0.36,27.149203000590205,-1,0,nan
0.38,25.717464988701977,-1,0,nan
0.4,25.84691699303221,-1,0,nan
0.42,25.4140280012507,-1,0,nan
0.44,25.42897898820229,-1,0,nan
0.46,26.082009004312567,-1,0,nan
0.48,27.076238999143243,-1,0,nan
0.5,25.596708001103252,-1,0,nan
0.52,27.106884008389898,-1,0,nan
0.54,25.955387987778522,-1,0,nan
0.56,27.254179993178695,-1,0,nan
0.58,25.419953992241062,-1,0,nan
0.6,26.935856993077323,-1,0,nan
0.62,25.845555996056646,-1,0,nan
0.64,26.04015701217577,-1,0,nan
0.66,27.841760995215736,-1,0,nan
0.68,25.5270829948131,-1,0,nan
0.7000000000000001,26.506756999879144,-1,0,nan
0.72,27.93093198852148,-1,0,nan
0.74,28.648300998611376,-1,0,nan
0.76,30.022634004126303,-1,0,nan
0.78,31.498896001721732,-1,0,nan
0.8,27.34223401057534,-1,0,nan
0.8200000000000001,27.0587140112184,-1,0,nan
0.84,25.29952699842397,-1,0,nan
0.86,25.385154993273318,-1,0,nan
0.88,25.09398000256624,-1,0,nan
0.9,25.642184002208523,-1,0,nan
0.92,26.146939999307506,-1,0,nan
0.9400000000000001,26.628086998243816,-1,0,nan
0.96,26.01478800352197,-1,0,nan
0.98,25.51116800168529,-1,0,nan
1.0,25.952606985811144,-1,0,nan
1.02,25.685967004392296,-1,0,nan
1.04,25.458921998506412,-1,0,nan
1.06,25.372172996867448,-1,0,nan
1.08,25.595664003049023,-1,0,nan
1.1,27.105335000669584,-1,0,nan
1.12,25.510166000458412,-1,0,nan
1.1400000000000001,25.72127200255636,-1,0,nan
1.16,25.11082199634984,-1,0,nan
1.18,25.46723000705242,-1,0,nan
1.2,25.82300899666734,-1,0,nan
1.22,25.574250001227483,-1,0,nan
1.24,25.92659900255967,-1,0,nan
1.26,26.322113000787795,-1,0,nan
1.28,34.54293101094663,-1,0,nan
1.3,28.18297799967695,-1,0,nan
1.32,48.0960629938636,-1,0,nan
1.34,27.06421799666714,-1,0,nan
1.36,25.30890599882696,-1,0,nan
1.3800000000000001,26.781909007695504,-1,0,nan
1.4000000000000001,25.27559299778659,-1,0,nan
1.42,25.653500997577794,-1,0,nan
1.44,25.773228000616655,-1,0,nan
1.46,26.79557300871238,-1,0,nan
1.48,27.34071100712754,-1,0,nan
1.5,25.768202991457656,-1,0,nan
1.52,27.213679000851698,-1,0,nan
1.54,26.70395300083328,-1,0,nan
1.56,25.50528298888821,-1,0,nan
1.58,26.970034989062697,-1,0,nan
1.6,27.42502000182867,-1,0,nan
1.62,27.233574001002125,-1,0,nan
1.6400000000000001,25.714396993862465,-1,0,nan
1.6600000000000001,26.00483900459949,-1,0,nan
1.68,25.674919001176022,-1,0,nan
1.7,26.624065008945763,-1,0,nan
1.72,26.499865998630412,-1,0,nan
1.74,25.879013002850115,-1,0,nan
1.76,27.736827003536746,-1,0,nan
1.78,27.565512995352037,-1,0,nan
1.8,26.38849400682375,-1,0,nan
1.82,26.34080999996513,-1,0,nan
1.84,26.0544829943683,-1,0,nan
1.86,26.55371799482964,-1,0,nan
1.8800000000000001,27.728593006031588,-1,0,nan
1.9000000000000001,27.10656198905781,-1,0,nan
1.92,26.357316004578024,-1,0,nan
1.94,26.990794009179808,-1,0,nan
1.96,26.962175004882738,-1,0,nan
1.98,27.662145992508158,-1,0,nan
2.0,26.003199993283488,-1,0,nan
2.02,25.3676370048197,-1,0,nan
2.04,30.788820993620902,-1,0,nan
2.06,26.57445298973471,-1,0,nan
2.08,30.40257999964524,-1,0,nan
2.1,26.840681995963678,-1,0,nan
2.12,25.953327989554964,-1,0,nan
2.14,27.696432007360272,-1,0,nan
2.16,26.223281005513854,-1,0,nan
2.18,26.434610990691,-1,0,nan
2.2,29.29366000171285,-1,0,nan
2.22,25.41433399892412,-1,0,nan
2.24,26.788075992953964,-1,0,nan
2.2600000000000002,31.97865300171543,-1,0,nan
2.2800000000000002,26.320736011257395,-1,0,nan
2.3000000000000003,25.835872002062388,-1,0,nan
2.32,25.604000999010168,-1,0,nan
2.34,24.999367000418715,-1,0,nan
2.36,25.864206996629946,-1,0,nan
2.38,24.845885011018254,-1,0,nan
2.4,26.182521993177943,-1,0,nan
2.42,25.477200993918814,-1,0,nan
2.44,28.50309299537912,-1,0,nan
2.46,25.217916001565754,-1,0,nan
2.48,25.123729996266775,-1,0,nan
2.5,25.410226997337304,-1,0,nan
2.52,25.76301600493025,-1,0,nan
2.54,29.203114012489095,-1,0,nan
2.56,27.305769006488845,-1,0,nan
2.58,25.41857899632305,-1,0,nan
2.6,26.157222004258074,-1,0,nan
2.62,25.546452001435682,-1,0,nan
