t,x,y,z,vx,vy,vz,ref_x,ref_y,ref_z,theta,s
0.0,-0.0962786078453064,0.038048967719078064,0.007111750077456236,-0.0006803112337365746,-0.005357388406991959,-0.19391033053398132,nan,nan,nan,nan,nan
0.02,-0.09630492329597473,0.03804129734635353,0.001784767024219036,-8.613849058747292e-05,0.0022400859743356705,-0.35169246792793274,nan,nan,nan,nan,nan
0.04,-0.09628661721944809,0.038052305579185486,-0.0010000000474974513,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.06,-0.09626307338476181,0.03807472810149193,-0.0010000000474974513,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.08,-0.09625103324651718,0.03808005526661873,-0.0010000000474974513,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.1,-0.09621480852365494,0.03808224946260452,-0.0010000000474974513,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.12,-0.09618151187896729,0.038092244416475296,-0.0009995196014642715,0.008085578680038452,0.008483095094561577,0.0008959077531471848,nan,nan,nan,nan,nan
0.14,-0.09606052935123444,0.0381590835750103,-0.0009945465717464685,0.004859411157667637,0.0038691735826432705,-0.001712326891720295,nan,nan,nan,nan,nan
0.16,-0.09562999755144119,0.03846794739365578,-0.0007975328480824828,0.04768039286136627,0.022054320201277733,0.022095462307333946,nan,nan,nan,nan,nan
0.18,-0.09426625818014145,0.03893578425049782,-0.00028640995151363313,0.09379474073648453,0.024167437106370926,0.023654641583561897,nan,nan,nan,nan,nan
0.2,-0.09206888824701309,0.039603281766176224,0.00027170730754733086,0.1322108507156372,0.035175297409296036,0.0403909794986248,nan,nan,nan,nan,nan
0.22,-0.08891904354095459,0.040119022130966187,0.0010683131404221058,0.1828497350215912,0.022725433111190796,0.05227513983845711,nan,nan,nan,nan,nan
0.24,-0.08461892604827881,0.040583536028862,0.0022314321249723434,0.25025707483291626,0.02671109326183796,0.06463196873664856,nan,nan,nan,nan,nan
0.26,-0.07911045849323273,0.04102841764688492,0.0035000648349523544,0.30681896209716797,0.020571328699588776,0.0681472197175026,nan,nan,nan,nan,nan
0.28,-0.07241010665893555,0.04119874909520149,0.005154081620275974,0.3727703094482422,-0.0006585509399883449,0.09397051483392715,nan,nan,nan,nan,nan
0.3,-0.06449577212333679,0.0410597138106823,0.007380293682217598,0.4218834936618805,-0.005837757606059313,0.1262352615594864,nan,nan,nan,nan,nan
0.32,-0.055504996329545975,0.04094959795475006,0.010078039020299911,0.4793682396411896,-0.01004372164607048,0.15030382573604584,nan,nan,nan,nan,nan
0.34,-0.04556061327457428,0.04063757508993149,0.013396833091974258,0.5223962664604187,-0.026616787537932396,0.17911554872989655,nan,nan,nan,nan,nan
0.36,-0.03457234799861908,0.039956651628017426,0.01719236560165882,0.5761312246322632,-0.041213396936655045,0.20474843680858612,nan,nan,nan,nan,nan
0.38,-0.022555837407708168,0.03912276774644852,0.021466365084052086,0.6290315389633179,-0.05247124284505844,0.21637964248657227,nan,nan,nan,nan,nan
