Eval_ID,Q_c,Q_l,R_u,mu,R_T,Z_l,z_l,Mean_Reward,Min_Reward,Success_Rate,Mean_Time,TR_Length
13,976.4243167936802,1020.0351865887642,495.01450249552727,5.498389226198197,534.1223450899124,14.529719053676208,47036.49862985983,4.771983708367889,0.6303062368974961,0.0,1.065,0.8
14,263.9301416128874,824.9745225310326,904.7073927521706,3.779964429140091,839.4297729730606,290.7148060882926,34.53449679550234,26.54482293435635,22.450684294588598,0.0,2.145,0.8
15,1819.7871739268303,1795.2096918225288,177.9155340641737,8.209962958097458,351.00967586040497,2910.4172337733457,6218.853429855022,48.7522327563302,25.333544983708673,0.0,2.0300000000000002,0.8
16,1374.5336429289864,1.0,597.4575767693239,0.1,1.0,251831.99734459762,54.7504151027831,53.78377738830996,34.614713923072834,0.0,9.885,0.8
17,1499.5441088832165,1.0,761.3250497459783,0.1,1.0,46450.95304605664,570.6373449925904,52.15508975764881,35.28141373185735,0.0,11.09,0.8
18,620.0442849636078,399.15680569206665,1000.0,0.1,1.0,316227.7660168379,16477.691140266546,981.995,980.26,1.0,18.005000000000003,0.8
19,1419.6442849636078,447.736151998434,1000.0,0.1,1.0,316227.7660168379,253426.542447759,137.6377491971991,126.562397706093,0.0,10.305,0.8
20,643.0946782322686,360.69937954332363,1000.0,0.1,1.0,316227.7660168379,4531.128790451041,756.5596807847397,83.8587231389587,0.75,18.565,0.8
21,356.97645668576683,1.0,1000.0,0.1,1.0,316227.7660168379,316227.7660168379,122.96761061657176,116.21671966985119,0.0,9.215,0.8
22,518.2623824304417,229.61321480185734,1000.0,0.1,1.0,316227.7660168379,11211.416403016745,541.7494459035279,84.20203658170267,0.5,19.31,0.8
23,522.9093911312586,428.74891052717345,1000.0,0.1,1.0,316227.7660168379,26573.43979443495,549.072565718189,106.88685610150516,0.5,17.75,0.8
24,619.8049391568908,1.0,1000.0,0.1,1.0,316227.7660168379,26907.48791329292,320.4688108284716,50.263429009546876,0.25,15.645,0.8
25,634.6543805069064,398.20574737058183,1000.0,1.7309697983881986,1.0,316227.7660168379,18093.682962237795,543.3379504664726,95.30214169105159,0.5,8.229999999999999,0.4
26,632.4746869342943,400.2590403562436,830.4253117129997,0.1,1.0,316227.7660168379,17998.872787679105,317.28934303838525,81.47324989595064,0.25,14.635,0.4
27,632.5763433675194,405.5587890609854,1000.0,0.1,31.919048957713176,56866.23066254835,18413.70122068636,102.96873517622164,84.57758962189409,0.0,14.829999999999998,0.4
28,632.3073836385277,405.5510313498091,1000.0,0.1,170.17214463474866,316227.7660168379,18539.403949367355,108.58646696863994,86.00170005000774,0.0,18.075,0.4
29,648.8409671944178,429.04104129043264,1000.0,0.1,1.0,316227.7660168379,21147.051682109923,542.0695266114164,81.72376195721868,0.5,16.3,0.4
30,582.8793559907199,665.9105165728579,1000.0,0.1,1.0,316227.7660168379,2080.9020804689553,299.2662955042111,54.73330425587666,0.25,14.595,0.4
31,599.8484136427255,343.5190317445581,1000.0,0.1,1.0,316227.7660168379,8126.102409555957,754.9444089463198,81.31763578527867,0.75,19.080000000000002,0.4
32,901.1711104416526,286.7576424263961,1000.0,0.1,1.0,316227.7660168379,2074.4184104177166,305.827384924465,80.77885479246692,0.25,16.895,0.2
33,420.14428496360773,449.8600830841593,1000.0,0.1,1.0,234363.267825095,6787.268831512779,534.5157719916332,82.59111496171965,0.5,18.485,0.2
34,447.26791397462495,380.59901272874373,1000.0,0.1,1.0,298602.63398174604,15421.217904120764,551.5529113955336,114.10442045161581,0.5,19.355,0.2
35,661.561473948896,262.4482033737622,1000.0,0.1,1.0,165390.5181226657,46440.443456374676,105.75201350570713,78.81336313676927,0.0,12.295,0.2
36,740.7808179133015,599.0568056920666,1000.0,0.1,1.0,316227.7660168379,9099.665918345676,322.9900459503027,84.42571124014245,0.25,18.055,0.2
37,617.664081523067,344.5071921503567,1000.0,0.1,1.0,316227.7660168379,5846.505440222029,314.2901295034344,81.26729451872163,0.25,17.345,0.2
38,420.14428496360773,199.25680569206665,1000.0,0.32541196344450746,1.0,316227.7660168379,6481.96854179173,756.4577075682605,73.37083027304176,0.75,14.56,0.2
39,420.14428496360773,199.25680569206665,1000.0,1.09,1.0,316227.7660168379,5846.505440222029,85.4417485769806,72.58171430612465,0.0,9.17,0.1
40,520.0942849636077,299.2068056920666,1000.0,0.1,1.0,316227.7660168379,9815.136825020143,328.46169279763734,83.52414950655891,0.25,18.485,0.1
41,520.0942849636077,299.2068056920666,1000.0,0.1,1.0,316227.7660168379,9815.136825020143,325.3650897953071,82.80389740902783,0.25,18.335,0.1
42,520.0942849636077,299.2068056920666,1000.0,0.1,1.0,316227.7660168379,9815.136825020143,551.3236996870397,120.11151420757213,0.5,17.9,0.1
43,520.0942849636077,299.2068056920666,1000.0,0.1,1.0,316227.7660168379,9815.136825020143,552.1256313612814,119.44435535081969,0.5,18.3,0.1
44,520.0942849636077,299.2068056920666,1000.0,0.1,1.0,316227.7660168379,9815.136825020143,541.3585455076371,81.75099754751592,0.5,18.845,0.1
45,520.0942849636077,299.2068056920666,1000.0,0.1,1.0,316227.7660168379,9815.136825020143,538.5812267938475,87.24058823755736,0.5,18.74,0.1
46,520.0942849636077,299.2068056920666,1000.0,0.1,1.0,316227.7660168379,9815.136825020143,314.603292133191,84.57042232207982,0.25,16.555,0.05
47,570.0692849636077,349.1818056920667,1000.0,0.1,1.0,316227.7660168379,12717.34221848803,554.940541271274,123.0191654612265,0.5,19.16,0.05
48,570.0692849636077,349.1818056920667,1000.0,0.1,1.0,316227.7660168379,12717.34221848803,543.9254957801684,89.60247479220789,0.5,20.62,0.05
49,570.0692849636077,349.1818056920667,1000.0,0.1,1.0,316227.7660168379,12717.34221848803,540.9412770980233,96.07420361051233,0.5,18.93,0.05
