Eval_ID,Q_c,Q_l,R_u,mu,R_T,Z_l,z_l,Mean_Reward,Min_Reward,Success_Rate,Mean_Time,TR_Length
0,166.9735795557499,14.057207137346268,658.108635365963,4.816891545057297,570.9939492940903,37.12728699830817,84.82558500284912,53.33597555738271,23.642443116783426,0.0,2.8925,0.8
1,308.0751441717148,339.30296820402145,156.08404475450516,2.522697535157204,284.2381466329098,17028.965572501293,6065.237643255379,36.54507751128483,23.48408606262773,0.0,1.7475,0.8
2,517.0317669510841,174.13785150647163,919.4375256896019,2.9587129175662996,117.83578971028328,25569.652598124536,18.155658228867544,155.3911653980866,21.910179381631686,0.125,2.9625000000000004,0.8
3,60.31227295845747,518.0974712371826,393.25190982222557,0.6675095573067665,439.650582075119,330.1458971391569,1297.6585464958791,39.232081778842236,23.025650267611052,0.0,3.6525,0.8
4,123.20121930539608,226.07502076029778,97.06073082238436,0.7174245432019234,363.7010948061943,20.057500364576285,46.93897395254419,28.915872810228485,23.594450092590296,0.0,1.8325,0.8
5,567.0422853827477,574.7076871991158,591.2770686745644,3.3298262596130375,42.13416285812855,2317.6206866089265,3436.5378373575504,83.31370182186237,23.070594520338048,0.0,3.3075,0.8
6,408.97754979133606,104.78916856646538,358.61545315384865,1.3911929577589037,210.32802513241768,169036.4198469318,205.49247463882804,26.281990259545466,-23.66007493960762,0.0,2.1825,0.8
7,252.67626577615738,434.6988006234169,830.164624273777,3.9958187222480777,496.76271337270737,652.9623860101412,15039.691959297168,16.231708223361874,0.9249939137189853,0.0,1.44,0.8
8,283.92867144942284,218.99472269415855,302.5034227669239,3.6428883314132694,247.04767695069313,154.9629839368197,29.394953357742384,26.98960086878449,21.017642725216742,0.0,1.3399999999999999,0.8
9,443.7534846663475,469.3652338385582,760.4589375853539,1.0550222232937814,533.765812754631,53386.51058669229,2118.4818177091165,34.8326787889649,4.342416597505715,0.0,3.7275,0.8
10,531.1158511638641,41.36981574445963,57.50031615048647,4.276066958904266,401.87475872039795,7043.199266787237,377.70802822875686,33.32735973578968,-31.48195715171832,0.0,2.15,0.8
11,93.10161583125591,310.4547969698906,506.90424770116806,1.685210055112839,80.02428995072842,87.97112524089302,27212.158037939906,14.417454651238785,5.123448261849969,0.0,1.9149999999999998,0.8
12,24.947742115706205,133.3403339534998,991.1858454346657,2.2286591172218326,5.089349328540266,1047.8991585510958,126.87686479431115,37.0157382271142,22.385626713398782,0.0,2.955,0.8
13,487.53961741924286,407.09824138879776,447.38228127360344,4.536589568853378,326.6209836602211,107478.21689051946,9215.926898941409,33.63958358791928,22.606715603279152,0.0,1.56,0.8
14,338.756638109684,274.51941910386086,744.4631152749062,0.32989084869623186,459.1336300969124,3892.759071580116,10.545573674044235,161.5270975319661,26.460044740072384,0.125,7.895,0.8
15,201.1510398387909,529.5537298321724,193.60182636976242,2.645597106218338,172.6610607802868,12.185211187829914,765.6934447278003,40.10929333972523,-27.058783113007422,0.0,2.4425,0.8
16,431.6031380082194,251.71650355136396,889.9736372805676,0.39911578330382824,410.8047486895012,10996.480230049101,10.0,92.53348099857041,0.20923910652216998,58.510019500747255,30.79275852000465,24.918338094879537,0.0,5.1675,0.8
17,320.9130723866848,286.3039887248943,775.7542619204161,0.13273165117348867,492.07143504090163,2415.697819226408,10.0,66.03987747415451,0.25645987880767784,46.12897417759552,49.462770918501704,26.40279127151016,0.0,9.2075,0.8
18,341.5106170777781,265.6796619229913,734.3270555455936,0.37180178566658695,446.92968955651673,4210.413258437286,10.0,98.50016383803343,0.27546118768524086,47.383427914817105,161.56274651276223,41.85725356493805,0.125,7.37,0.8
19,265.95039459631863,340.79829415795587,739.0674509614113,0.1389326190948303,421.0430379645777,5290.59447590732,10.0,157.4960038250047,0.22215345673217327,45.3573259401544,38.25982036348201,26.499163295955007,0.0,7.3475,0.8
20,348.2392752742829,261.74013814572186,722.9884878412682,0.4450191467072767,435.1184968497233,5032.033296816755,10.246923046469798,109.04675511217333,0.28503849552931476,47.77827904304563,46.3857341877027,24.19894864671771,0.0,6.355,0.8
21,531.3338058786695,235.55000239451962,1000.0,0.6419886559329459,489.0851058503156,81574.03492131237,10.0,63.38580785295512,0.35266649889018803,46.42683264893823,36.49119748310999,24.809644844863765,0.0,5.41,0.8
22,581.1106170777781,171.75978836775627,1000.0,2.3318017856665874,207.3296895565167,265659.1168707786,10.0,46.00219393603119,0.17301911057791633,75.41955428330778,39.72368781006674,23.60784721796724,0.0,3.175,0.8
23,332.3018405983286,269.3553127085285,739.9415648067683,0.3063640087202557,453.0196997284852,3607.6001123486662,10.0,92.1796438528698,0.26276630443920357,47.051814083546745,52.6142536741992,25.80184977683634,0.0,8.2875,0.8
24,425.390987500211,196.71949813904408,842.3494293178214,2.3318017856665874,207.3296895565167,3940.30560064328,13.451297294777694,121.11846881097117,0.32124807622965423,64.12317411722614,152.51988265470663,23.44532657643257,0.125,2.91,0.8
25,413.0958707099666,123.27779976882825,708.0222781708871,2.3318017856665874,207.3296895565167,3650.9054468648173,10.0,216.4125994425793,0.3428428306861983,74.11387048977149,37.79766281234415,22.469862877562353,0.0,2.7,0.8
26,465.20291404885677,162.8059199712941,904.3511737122253,2.3318017856665874,207.3296895565167,3445.7780044663646,15.986754253730817,124.89179768757757,0.34914312884314774,71.7938191742349,43.0685769883101,24.30681798879253,0.0,3.155,0.8
27,370.06489530593535,217.43329928036826,769.0077956582413,2.3318017856665874,207.3296895565167,2069.0635151852275,11.35657992713628,124.49426490142791,0.30525039289287503,61.13567416108544,41.559391989675056,23.3222089544545,0.0,2.855,0.8
28,581.1106170777781,26.07966192299127,1000.0,2.3318017856665874,207.3296895565167,7547.531614694118,10.0,20.0,0.6714611876852409,7.783427914817103,158.17675082733308,24.3619925219599,0.125,3.5225,0.4
