t,roll_cmd,pitch_cmd,yaw_cmd,thrust_cmd,a_theta
0.0,0.08755839177414335,0.5719478633633773,0.0,0.375471974682924,12.37331747184828
0.02,0.09502024410422688,0.34081787203079195,0.0,0.5209956739918503,0.01000000000004242
0.04,0.20199157023250047,0.5198949308265326,0.0,0.5509595143047608,0.010000000000083695
0.06,0.17509296270188096,0.47854298926245825,0.0,0.5788119427370392,0.010000000000110733
0.08,0.14711578087835542,0.5581768312248123,0.0,0.5044671468859518,0.010000000000342277
0.1,0.11809436216191828,0.4789605650585535,0.0,0.537907126819783,0.010000000000331181
0.12,0.12884098402598393,0.47748931838227815,0.0,0.5453488309639297,0.01000000000029703
0.14,0.14277743042829963,0.5020361764618726,0.0,0.5463517731339033,0.010000000000274283
0.16,0.13144068927972927,0.5210313354634296,0.0,0.5428261696668839,0.01000000000025458
0.18,0.10699757586944615,0.5029747361498027,0.0,0.540530922717832,0.010000000000434332
0.2,0.07344790383790831,0.46637349413679247,0.0,0.5440944554672047,0.010000000001272333
0.22,0.06363067067272153,0.4427364663721721,0.0,0.546664402352198,0.010000000005773444
0.24,0.05586638815889749,0.4255478282649479,0.0,0.5489395751457014,1.3603847527784352
0.26,0.04521647117382003,0.41705528693575455,0.0,0.545923381516843,3.879841307793579
0.28,0.020173944788438085,0.40374727612234523,0.0,0.5447343219029608,6.239880728832853
0.3,0.0051530044282334184,0.3926326077467401,0.0,0.5432609918593367,7.647712401186661
0.32,-0.017674550755483638,0.3795938581478513,0.0,0.5420120625950398,8.961149855433256
0.34,-0.0197462896279386,0.37070232673938636,0.0,0.542745370385335,8.979125723965378
0.36,-0.026959331184231765,0.37375876307151357,0.0,0.5402954893889996,8.236681660272264
0.38,-0.04969462047512417,0.37031804304516913,0.0,0.5403833270680928,7.218751186226222
0.4,-0.058462326688227276,0.37381786034726905,0.0,0.5390567076940602,5.930831552717798
0.42,-0.07016671933358236,0.3781205035335524,0.0,0.5380954060041909,4.843854078377378
0.44,-0.072652290147508,0.374048145374604,0.0,0.5417898872045943,3.9629527099430852
0.46,-0.06444829221037184,0.37431491359285796,0.0,0.5428351023174933,4.256787031884015
0.48,-0.05899329948898299,0.371989344106674,0.0,0.5432003728428858,4.3417970213057355
0.5,-0.06443639508264995,0.3709932877502839,0.0,0.5427098120738602,3.8750331875724053
