t,solve_time_ms,sqp_iters,qp_status,cost
0.0,25.79696300381329,-1,0,nan
0.02,27.549494989216328,-1,0,nan
0.04,28.87688099872321,-1,0,nan
0.06,26.313573005609214,-1,0,nan
0.08,27.51047800120432,-1,0,nan
0.1,26.684481999836862,-1,0,nan
0.12,27.95223699649796,-1,0,nan
0.14,26.907547988230363,-1,0,nan
0.16,30.41195299010724,-1,0,nan
0.18,26.630120002664626,-1,0,nan
0.2,25.38966700376477,-1,0,nan
0.22,25.511498999549076,-1,0,nan
0.24,27.892392987268977,-1,0,nan
0.26,26.194068006589077,-1,0,nan
0.28,27.62818499468267,-1,0,nan
0.3,26.298010008758865,-1,0,nan
0.32,25.971600000048056,-1,0,nan
0.34,26.545218002866022,-1,0,nan
0.36,25.359979990753345,-1,0,nan
0.38,26.912405010079965,-1,0,nan
0.4,25.779388000955805,-1,0,nan
0.42,26.653124994481914,-1,0,nan
0.44,25.572049009497277,-1,0,nan
0.46,27.64005199423991,-1,0,nan
0.48,28.04178099904675,-1,0,nan
0.5,25.245352007914335,-1,0,nan
0.52,25.567780001438223,-1,0,nan
0.54,25.957980993553065,-1,0,nan
0.56,26.34608700464014,-1,0,nan
0.58,25.736005991348065,-1,0,nan
0.6,26.13061500596814,-1,0,nan
0.62,25.20802199433092,-1,0,nan
0.64,27.211362001253292,-1,0,nan
0.66,24.980668007628992,-1,0,nan
0.68,25.977761004469357,-1,0,nan
0.7000000000000001,27.286372001981363,-1,0,nan
0.72,26.097184992977418,-1,0,nan
0.74,27.872859995113686,-1,0,nan
0.76,25.698351993924007,-1,0,nan
0.78,26.324088001274504,-1,0,nan
0.8,25.708817993290722,-1,0,nan
0.8200000000000001,25.701377002405934,-1,0,nan
0.84,26.955865003401414,-1,0,nan
0.86,25.466623992542736,-1,0,nan
0.88,27.42626100371126,-1,0,nan
0.9,25.839523994363844,-1,0,nan
0.92,26.44009399227798,-1,0,nan
0.9400000000000001,25.32251999946311,-1,0,nan
0.96,25.103374995524064,-1,0,nan
0.98,28.445887990528718,-1,0,nan
1.0,25.880465007503517,-1,0,nan
1.02,26.059791998704895,-1,0,nan
1.04,26.22751399758272,-1,0,nan
1.06,27.020858993637376,-1,0,nan
1.08,25.492517990642227,-1,0,nan
1.1,25.610490003600717,-1,0,nan
1.12,26.876421994529665,-1,0,nan
1.1400000000000001,27.642910004942678,-1,0,nan
1.16,26.90941000764724,-1,0,nan
1.18,25.72364400839433,-1,0,nan
1.2,27.752067006076686,-1,0,nan
1.22,26.019929005997255,-1,0,nan
1.24,25.24845900188666,-1,0,nan
1.26,25.53914899181109,-1,0,nan
1.28,25.83950500411447,-1,0,nan
1.3,28.227450005942956,-1,0,nan
1.32,25.867604999803007,-1,0,nan
1.34,26.600800003507175,-1,0,nan
1.36,25.707758002681658,-1,0,nan
1.3800000000000001,25.254891996155493,-1,0,nan
1.4000000000000001,27.605760988080874,-1,0,nan
1.42,25.507167010800913,-1,0,nan
1.44,25.831909995758906,-1,0,nan
1.46,25.89378999255132,-1,0,nan
1.48,26.846742010093294,-1,0,nan
1.5,25.583367998478934,-1,0,nan
1.52,25.65689200127963,-1,0,nan
1.54,28.02283500204794,-1,0,nan
1.56,25.612287994590588,-1,0,nan
1.58,26.862137994612567,-1,0,nan
1.6,25.176549010211602,-1,0,nan
1.62,25.83752101054415,-1,0,nan
1.6400000000000001,27.47273199202027,-1,0,nan
1.6600000000000001,25.44130499882158,-1,0,nan
1.68,27.048125994042493,-1,0,nan
1.7,25.39589699881617,-1,0,nan
1.72,27.932430006330833,-1,0,nan
1.74,25.830062993918546,-1,0,nan
1.76,28.922240002430044,-1,0,nan
1.78,25.65849899838213,-1,0,nan
1.8,26.4765509928111,-1,0,nan
1.82,26.194263991783373,-1,0,nan
1.84,25.760365999303758,-1,0,nan
1.86,25.548499994329177,-1,0,nan
1.8800000000000001,25.597923988243565,-1,0,nan
1.9000000000000001,26.890366003499366,-1,0,nan
1.92,25.926777001586743,-1,0,nan
