t,solve_time_ms,sqp_iters,qp_status,cost
0.0,24.353567001526244,-1,0,nan
0.02,26.450424003996886,-1,0,nan
0.04,25.81207500770688,-1,0,nan
0.06,27.49225999286864,-1,0,nan
0.08,26.438713000970893,-1,0,nan
0.1,28.839443999459036,-1,0,nan
0.12,27.241561998380348,-1,0,nan
0.14,31.138040008954704,-1,0,nan
0.16,25.91327800473664,-1,0,nan
0.18,27.690344999427907,-1,0,nan
0.2,28.08776700112503,-1,0,nan
0.22,25.568807002855465,-1,0,nan
0.24,27.4819589976687,-1,0,nan
0.26,25.888241987559013,-1,0,nan
0.28,26.44372099894099,-1,0,nan
0.3,27.3885319911642,-1,0,nan
0.32,29.785138001898304,-1,0,nan
0.34,30.813614997896366,-1,0,nan
0.36,29.891885991673917,-1,0,nan
0.38,31.08963801059872,-1,0,nan
0.4,27.69973401154857,-1,0,nan
0.42,26.002964994404465,-1,0,nan
0.44,25.916485014022328,-1,0,nan
0.46,27.52511300786864,-1,0,nan
0.48,26.88126800057944,-1,0,nan
0.5,26.43071601050906,-1,0,nan
0.52,30.407953992835246,-1,0,nan
0.54,27.695023993146606,-1,0,nan
0.56,28.212310004164465,-1,0,nan
0.58,26.226661997498013,-1,0,nan
0.6,30.909626992070116,-1,0,nan
0.62,33.79037800186779,-1,0,nan
0.64,29.738519006059505,-1,0,nan
0.66,28.95192000141833,-1,0,nan
0.68,30.39895900292322,-1,0,nan
0.7000000000000001,27.61808200739324,-1,0,nan
0.72,26.795126002980396,-1,0,nan
0.74,29.18681599840056,-1,0,nan
0.76,27.54599899344612,-1,0,nan
0.78,28.681061012321152,-1,0,nan
0.8,29.673263998120092,-1,0,nan
0.8200000000000001,27.837337998789735,-1,0,nan
0.84,28.395246001309715,-1,0,nan
0.86,29.19074300734792,-1,0,nan
0.88,30.25535999040585,-1,0,nan
0.9,29.60377000272274,-1,0,nan
0.92,25.986221997300163,-1,0,nan
0.9400000000000001,27.933113000472076,-1,0,nan
0.96,26.929286002996378,-1,0,nan
0.98,28.769929995178245,-1,0,nan
1.0,28.431635000742972,-1,0,nan
1.02,30.023072991752997,-1,0,nan
1.04,28.95870500651654,-1,0,nan
1.06,25.91665499494411,-1,0,nan
1.08,26.97217599779833,-1,0,nan
1.1,27.500027004862204,-1,0,nan
1.12,27.814664994366467,-1,0,nan
1.1400000000000001,27.03130700683687,-1,0,nan
1.16,27.534816996194422,-1,0,nan
1.18,27.971720992354676,-1,0,nan
1.2,26.78182600357104,-1,0,nan
1.22,27.39345199370291,-1,0,nan
1.24,26.58639599394519,-1,0,nan
1.26,25.560591006069444,-1,0,nan
1.28,25.013784994371235,-1,0,nan
1.3,26.16490499349311,-1,0,nan
1.32,27.54654100863263,-1,0,nan
1.34,30.924297010642476,-1,0,nan
1.36,28.841601000749506,-1,0,nan
1.3800000000000001,25.545147000229917,-1,0,nan
1.4000000000000001,29.159316007280722,-1,0,nan
1.42,27.503543999046087,-1,0,nan
1.44,26.101598996319808,-1,0,nan
1.46,25.8979240024928,-1,0,nan
