t,x,y,z,vx,vy,vz,ref_x,ref_y,ref_z,theta,s
0.0,-0.09308525919914246,0.053604692220687866,0.017829494550824165,0.009973635897040367,-0.009966500103473663,-0.1805964857339859,nan,nan,nan,nan,nan
0.02,-0.09302850812673569,0.053344860672950745,0.012549635954201221,-0.006327318027615547,-0.014057888649404049,-0.349906861782074,nan,nan,nan,nan,nan
0.04,-0.09312211722135544,0.05316115543246269,0.004279095213860273,-0.0013677481329068542,-0.01342705637216568,-0.4791075885295868,nan,nan,nan,nan,nan
0.06,-0.09307362139225006,0.052943285554647446,-0.0010000000474974513,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.08,-0.0930737629532814,0.0529349148273468,-0.0010000000474974513,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.1,-0.09307099133729935,0.05289769172668457,-0.0009910218650475144,0.0018553532427176833,-0.005913580302149057,-3.585438753361814e-05,nan,nan,nan,nan,nan
0.12,-0.09299879521131516,0.05254514887928963,-0.0008812087471596897,0.008311731740832329,-0.036406710743904114,0.01461277436465025,nan,nan,nan,nan,nan
0.14,-0.09294191002845764,0.05163354054093361,-0.00037254978087730706,-0.005251555237919092,-0.06216594949364662,0.03751644492149353,nan,nan,nan,nan,nan
0.16,-0.09317277371883392,0.05012395605444908,0.0005105666350573301,-0.012725370936095715,-0.09280546009540558,0.05427476018667221,nan,nan,nan,nan,nan
0.18,-0.09364907443523407,0.04803109169006348,0.0016870261169970036,-0.03273791819810867,-0.12612499296665192,0.06651820242404938,nan,nan,nan,nan,nan
0.2,-0.09436893463134766,0.04517851397395134,0.003263000166043639,-0.04682760313153267,-0.17076289653778076,0.09292353689670563,nan,nan,nan,nan,nan
0.22,-0.09531323611736298,0.04130738973617554,0.005525040905922651,-0.05572527274489403,-0.2266998291015625,0.14380592107772827,nan,nan,nan,nan,nan
0.24,-0.09670216590166092,0.03634817525744438,0.00878914538770914,-0.08129215240478516,-0.273485392332077,0.183856800198555,nan,nan,nan,nan,nan
0.26,-0.09839333593845367,0.030393559485673904,0.012725740671157837,-0.09315069764852524,-0.330911785364151,0.2134336531162262,nan,nan,nan,nan,nan
0.28,-0.10045723617076874,0.02332649938762188,0.017357032746076584,-0.11926233768463135,-0.37889495491981506,0.2512083947658539,nan,nan,nan,nan,nan
0.3,-0.1030348688364029,0.015222069807350636,0.022705169394612312,-0.13290871679782867,-0.4296993315219879,0.2918615937232971,nan,nan,nan,nan,nan
0.32,-0.10572962462902069,0.006176202092319727,0.029013734310865402,-0.1467108428478241,-0.47892817854881287,0.34394216537475586,nan,nan,nan,nan,nan
0.34,-0.1087038516998291,-0.003937921021133661,0.036271266639232635,-0.15223363041877747,-0.531173825263977,0.38743117451667786,nan,nan,nan,nan,nan
0.36,-0.11189718544483185,-0.015161775052547455,0.0444476343691349,-0.16236265003681183,-0.5933833122253418,0.4351767897605896,nan,nan,nan,nan,nan
0.38,-0.11516525596380234,-0.02750658057630062,0.0534961111843586,-0.16765610873699188,-0.6480185389518738,0.4626477360725403,nan,nan,nan,nan,nan
0.4,-0.11862543970346451,-0.04104733467102051,0.06307195872068405,-0.17417111992835999,-0.7155164480209351,0.49071210622787476,nan,nan,nan,nan,nan
0.42,-0.12215210497379303,-0.055835578590631485,0.07324273139238358,-0.1820506453514099,-0.7652562856674194,0.5322511196136475,nan,nan,nan,nan,nan
0.44,-0.12606649100780487,-0.07146190106868744,0.0842059925198555,-0.2096281200647354,-0.7990520596504211,0.5613967776298523,nan,nan,nan,nan,nan
0.46,-0.13036052882671356,-0.08772431313991547,0.09566283226013184,-0.22963351011276245,-0.8372692465782166,0.5927373766899109,nan,nan,nan,nan,nan
0.48,-0.13515391945838928,-0.10488869249820709,0.10775082558393478,-0.2510387897491455,-0.8814927339553833,0.617810070514679,nan,nan,nan,nan,nan
0.5,-0.14021895825862885,-0.12280845642089844,0.12035840004682541,-0.26471877098083496,-0.9197027087211609,0.6454227566719055,nan,nan,nan,nan,nan
0.52,-0.1456993967294693,-0.14179666340351105,0.13349388539791107,-0.28396183252334595,-0.9915461540222168,0.6667554378509521,nan,nan,nan,nan,nan
0.54,-0.15172123908996582,-0.16203573346138,0.14703994989395142,-0.3184615671634674,-1.036517858505249,0.6917758584022522,nan,nan,nan,nan,nan
0.56,-0.15828847885131836,-0.18323002755641937,0.16098642349243164,-0.3309047818183899,-1.0830951929092407,0.6995633244514465,nan,nan,nan,nan,nan
0.58,-0.16508176922798157,-0.20534175634384155,0.17520734667778015,-0.34766238927841187,-1.134102463722229,0.7299927473068237,nan,nan,nan,nan,nan
0.6,-0.1721925586462021,-0.2282942682504654,0.19000935554504395,-0.3684195578098297,-1.1714955568313599,0.7469884157180786,nan,nan,nan,nan,nan
0.62,-0.17977890372276306,-0.2519524097442627,0.2052389681339264,-0.38753294944763184,-1.206357479095459,0.7798068523406982,nan,nan,nan,nan,nan
0.64,-0.18770723044872284,-0.27627089619636536,0.2210346758365631,-0.4137148857116699,-1.2257568836212158,0.8044028282165527,nan,nan,nan,nan,nan
0.66,-0.19609318673610687,-0.3009892702102661,0.23719632625579834,-0.42940154671669006,-1.2506628036499023,0.8161978721618652,nan,nan,nan,nan,nan
0.68,-0.20481137931346893,-0.3261071443557739,0.2536706328392029,-0.4467073678970337,-1.2568824291229248,0.8328304886817932,nan,nan,nan,nan,nan
0.7,-0.2139226496219635,-0.3510795831680298,0.2702781558036804,-0.46506068110466003,-1.2430418729782104,0.8294506072998047,nan,nan,nan,nan,nan
0.72,-0.22354629635810852,-0.376003235578537,0.28687193989753723,-0.4994240701198578,-1.2486653327941895,0.8295813202857971,nan,nan,nan,nan,nan
0.74,-0.23376208543777466,-0.40107080340385437,0.30349859595298767,-0.5223641395568848,-1.2516510486602783,0.8348243832588196,nan,nan,nan,nan,nan
0.76,-0.24428072571754456,-0.4259551763534546,0.32028821110725403,-0.5310962200164795,-1.2430729866027832,0.8424564003944397,nan,nan,nan,nan,nan
0.78,-0.25502079725265503,-0.450646311044693,0.33712396025657654,-0.5463579893112183,-1.2208375930786133,0.8387840390205383,nan,nan,nan,nan,nan
0.8,-0.2660271227359772,-0.47492536902427673,0.35387587547302246,-0.5490351319313049,-1.2071850299835205,0.8350930213928223,nan,nan,nan,nan,nan
0.82,-0.27707451581954956,-0.4989054203033447,0.37079134583473206,-0.5607450008392334,-1.1968985795974731,0.855132520198822,nan,nan,nan,nan,nan
0.84,-0.288312703371048,-0.5227394104003906,0.38777783513069153,-0.5609265565872192,-1.1843308210372925,0.8470934629440308,nan,nan,nan,nan,nan
0.86,-0.2996528446674347,-0.5463242530822754,0.4046396315097809,-0.5792434811592102,-1.173704743385315,0.8384241461753845,nan,nan,nan,nan,nan
0.88,-0.31144067645072937,-0.5696913599967957,0.42126476764678955,-0.5960092544555664,-1.1600459814071655,0.8216862082481384,nan,nan,nan,nan,nan
0.9,-0.32351452112197876,-0.5927172303199768,0.4374987483024597,-0.6230850219726562,-1.1453419923782349,0.8008040189743042,nan,nan,nan,nan,nan
0.92,-0.3360181450843811,-0.6154295802116394,0.453274667263031,-0.6243987083435059,-1.1270842552185059,0.7680180668830872,nan,nan,nan,nan,nan
0.94,-0.3487266004085541,-0.6376699209213257,0.46850821375846863,-0.6417193412780762,-1.0920491218566895,0.7591750025749207,nan,nan,nan,nan,nan
0.96,-0.3616478443145752,-0.6592614650726318,0.48346421122550964,-0.6556447744369507,-1.0725975036621094,0.7431870102882385,nan,nan,nan,nan,nan
0.98,-0.37479329109191895,-0.6804602742195129,0.49811848998069763,-0.6575099229812622,-1.03690767288208,0.7226518392562866,nan,nan,nan,nan,nan
1.0,-0.387964129447937,-0.7008140683174133,0.5123322606086731,-0.6642707586288452,-1.0010040998458862,0.693352222442627,nan,nan,nan,nan,nan
1.02,-0.40123456716537476,-0.7205777764320374,0.5262094140052795,-0.6564241647720337,-0.9720073342323303,0.6877797245979309,nan,nan,nan,nan,nan
1.04,-0.41433992981910706,-0.7397768497467041,0.5397942662239075,-0.6508556008338928,-0.9424431324005127,0.6759332418441772,nan,nan,nan,nan,nan
1.06,-0.42735475301742554,-0.7582696676254272,0.5530506372451782,-0.6487430334091187,-0.9011223912239075,0.6467559933662415,nan,nan,nan,nan,nan
1.08,-0.440439909696579,-0.7759009599685669,0.565759003162384,-0.6478330492973328,-0.851837158203125,0.6229872703552246,nan,nan,nan,nan,nan
1.1,-0.45332738757133484,-0.7925681471824646,0.5780267119407654,-0.6447579264640808,-0.8138926029205322,0.6003009676933289,nan,nan,nan,nan,nan
1.12,-0.4663624167442322,-0.8085690140724182,0.5898979902267456,-0.654839813709259,-0.7784751653671265,0.5851397514343262,nan,nan,nan,nan,nan
1.14,-0.47940298914909363,-0.8237971067428589,0.6013957262039185,-0.6557933688163757,-0.7353964447975159,0.5682863593101501,nan,nan,nan,nan,nan
1.16,-0.492535263299942,-0.8380219340324402,0.6125256419181824,-0.665026843547821,-0.6800413727760315,0.5402200222015381,nan,nan,nan,nan,nan
1.18,-0.5059532523155212,-0.8513827919960022,0.623268723487854,-0.6782704591751099,-0.638557493686676,0.5317254662513733,nan,nan,nan,nan,nan
1.2,-0.5197542309761047,-0.8637286424636841,0.6338342428207397,-0.7021922469139099,-0.593865156173706,0.5204226970672607,nan,nan,nan,nan,nan
1.22,-0.5338448286056519,-0.8752731084823608,0.6441212892532349,-0.7049568295478821,-0.5481394529342651,0.5063168406486511,nan,nan,nan,nan,nan
1.24,-0.5480484366416931,-0.885952889919281,0.6543003916740417,-0.7215508222579956,-0.5118806958198547,0.5015336275100708,nan,nan,nan,nan,nan
1.26,-0.5628119111061096,-0.8959640860557556,0.6642049551010132,-0.7567986249923706,-0.4805305004119873,0.4849346876144409,nan,nan,nan,nan,nan
1.28,-0.5782113671302795,-0.9052706360816956,0.6739698648452759,-0.7838365435600281,-0.4458618760108948,0.4970385432243347,nan,nan,nan,nan,nan
1.3,-0.5942183136940002,-0.9138388633728027,0.6839380264282227,-0.8209514021873474,-0.4077218770980835,0.49539288878440857,nan,nan,nan,nan,nan
1.32,-0.6108097434043884,-0.9217809438705444,0.693760871887207,-0.8388475179672241,-0.38087189197540283,0.4898343086242676,nan,nan,nan,nan,nan
1.34,-0.6279478669166565,-0.9291256070137024,0.7034907341003418,-0.8814663887023926,-0.3400783836841583,0.48670655488967896,nan,nan,nan,nan,nan
1.36,-0.6458811163902283,-0.9355906248092651,0.7131121754646301,-0.9200564026832581,-0.29602381587028503,0.4778486490249634,nan,nan,nan,nan,nan
1.38,-0.6643643975257874,-0.9411877393722534,0.7226892113685608,-0.9413056373596191,-0.25343406200408936,0.47990453243255615,nan,nan,nan,nan,nan
1.4,-0.6834778189659119,-0.9459646344184875,0.7322881817817688,-0.9621798992156982,-0.2218821495771408,0.4819645583629608,nan,nan,nan,nan,nan
1.42,-0.7029012441635132,-0.9500278830528259,0.7419074773788452,-0.9898780584335327,-0.17462047934532166,0.4834654927253723,nan,nan,nan,nan,nan
1.44,-0.7227576375007629,-0.9529908299446106,0.7515716552734375,-0.9952760338783264,-0.1208636611700058,0.491875559091568,nan,nan,nan,nan,nan
1.46,-0.7426823377609253,-0.9549274444580078,0.761443555355072,-1.0028499364852905,-0.07044614851474762,0.48782411217689514,nan,nan,nan,nan,nan
1.48,-0.763035774230957,-0.956061601638794,0.7713316679000854,-1.0304412841796875,-0.039082176983356476,0.508567214012146,nan,nan,nan,nan,nan
1.5,-0.7838389277458191,-0.9564856886863708,0.7814987897872925,-1.0443836450576782,0.0029072104953229427,0.5106810331344604,nan,nan,nan,nan,nan
1.52,-0.8046553134918213,-0.9559848308563232,0.7917076945304871,-1.0359138250350952,0.040504954755306244,0.5172663331031799,nan,nan,nan,nan,nan
1.54,-0.8254246711730957,-0.9547207355499268,0.8022229671478271,-1.0410230159759521,0.08744288235902786,0.5397816896438599,nan,nan,nan,nan,nan
1.56,-0.8461881279945374,-0.9526081681251526,0.8131116032600403,-1.031889796257019,0.1300116628408432,0.5589511394500732,nan,nan,nan,nan,nan
1.58,-0.8665742874145508,-0.9495866894721985,0.8244330883026123,-1.0027437210083008,0.1792496144771576,0.5758354067802429,nan,nan,nan,nan,nan
1.6,-0.8863359093666077,-0.9456155896186829,0.8361107110977173,-0.9708526134490967,0.21425312757492065,0.5906841158866882,nan,nan,nan,nan,nan
1.62,-0.9054039716720581,-0.9410305023193359,0.8480558395385742,-0.9306819438934326,0.2521952688694,0.6038801074028015,nan,nan,nan,nan,nan
1.64,-0.9236539006233215,-0.935655951499939,0.8601024746894836,-0.8941177725791931,0.2838279604911804,0.5979564785957336,nan,nan,nan,nan,nan
1.66,-0.9411250352859497,-0.9297104477882385,0.8721329569816589,-0.8480302095413208,0.3189636170864105,0.6134496927261353,nan,nan,nan,nan,nan
1.68,-0.9576931595802307,-0.9229976534843445,0.8846765160560608,-0.800437867641449,0.34979692101478577,0.6336725354194641,nan,nan,nan,nan,nan
1.7,-0.9731653928756714,-0.9156979918479919,0.8973569869995117,-0.7382634878158569,0.37269043922424316,0.6411758661270142,nan,nan,nan,nan,nan
1.72,-0.9875342845916748,-0.9078552722930908,0.9103665351867676,-0.6944007873535156,0.4079248607158661,0.6518569588661194,nan,nan,nan,nan,nan
1.74,-1.0008835792541504,-0.8995267748832703,0.9235062003135681,-0.6307074427604675,0.43509551882743835,0.6644586324691772,nan,nan,nan,nan,nan
1.76,-1.0128265619277954,-0.8907612562179565,0.9366661310195923,-0.5634732246398926,0.4420209228992462,0.6521098613739014,nan,nan,nan,nan,nan
1.78,-1.0235735177993774,-0.8819063305854797,0.9497348070144653,-0.5057002305984497,0.4521794617176056,0.6562622785568237,nan,nan,nan,nan,nan
1.8,-1.0330924987792969,-0.872678279876709,0.9627137184143066,-0.446686714887619,0.46725764870643616,0.6379581093788147,nan,nan,nan,nan,nan
1.82,-1.0414410829544067,-0.8631067872047424,0.9754654169082642,-0.3771674931049347,0.4854852855205536,0.6399436593055725,nan,nan,nan,nan,nan
1.84,-1.048362135887146,-0.8532415628433228,0.9881749153137207,-0.3065069913864136,0.5005426406860352,0.6302804946899414,nan,nan,nan,nan,nan
1.86,-1.0538406372070312,-0.8431191444396973,1.0006717443466187,-0.2378137707710266,0.5217161178588867,0.6214680671691895,nan,nan,nan,nan,nan
1.88,-1.0579535961151123,-0.8325666785240173,1.0129777193069458,-0.16422411799430847,0.5368388295173645,0.6147072315216064,nan,nan,nan,nan,nan
