t,contour_err,lag_err,speed,v_theta,v_theta_ref
0.0,0.13633671365622788,-0.0003550296211945921,nan,0.03550169690532262,nan
0.02,0.13808819992263546,-0.0010960148777794116,nan,0.03570169690533879,nan
0.04,0.14352342984195282,-0.0017879841162879114,nan,0.0489842500015713,nan
0.06,0.15100079908689631,-0.0028545769031404827,nan,0.0655496147194019,nan
0.08,0.1510007927708448,-0.004234697348257081,nan,0.07273523629785031,nan
0.1,0.1510008576008744,-0.005663445241005342,nan,0.07293523630849227,nan
0.12,0.151000912135968,-0.007114163748495925,nan,0.07313523630861034,nan
0.14,0.15100099604193573,-0.008534548147702959,nan,0.07333523630866619,nan
0.16,0.1510012171729149,-0.009939629179931273,nan,0.07353523630872529,nan
0.18,0.15098497400760572,-0.011272380057023397,nan,0.07373523630891539,nan
0.2,0.15100066957653566,-0.012278981728785027,nan,0.07393523630896155,nan
0.22,0.15100210635087444,-0.013610218773121002,nan,0.07413523630899531,nan
0.24,0.15100188804730455,-0.014707269723650046,nan,0.0746003852082582,nan
0.26,0.15094055320936758,-0.014748625383654072,nan,0.09119478509175252,nan
0.28,0.1508555406326339,-0.01425458660697299,nan,0.12058693854951634,nan
0.3,0.15053929407940495,-0.01354662445345441,nan,0.16644489662613218,nan
0.32,0.1499279892919509,-0.0126292431516137,nan,0.23324134727453943,nan
0.34,0.14908603482161226,-0.011893438671076952,nan,0.31017665404368566,nan
0.36,0.14798406397682726,-0.01128677736218211,nan,0.3886376616801618,nan
0.38,0.1466180655269,-0.011177160365925259,nan,0.4608260081525836,nan
0.4,0.14480700932380658,-0.011324374506056738,nan,0.523234845318257,nan
0.42,0.14259117612576885,-0.011743327799035811,nan,0.5781966539401076,nan
0.44,0.1401092151408128,-0.012177407752373016,nan,0.6368119407429557,nan
0.46,0.13750444285590438,-0.012425208924924458,nan,0.70115932608791,nan
0.48,0.13465886867897167,-0.01266156473440787,nan,0.7610615909080171,nan
0.5,0.1314253069247876,-0.012990012972057763,nan,0.8195934115284226,nan
0.52,0.12784371292394417,-0.013384097391785667,nan,0.8664644461293004,nan
0.54,0.1239667430512966,-0.013848834959772743,nan,0.9122866874311669,nan
0.56,0.11966770639917804,-0.014147541204374522,nan,0.9564277935947181,nan
0.58,0.1149824839523887,-0.01424939087532411,nan,1.0042436726584716,nan
0.6,0.10985570808912237,-0.014182270819712055,nan,1.0469730643048958,nan
0.62,0.10432816632162815,-0.014067902806897044,nan,1.0895058675575555,nan
0.64,0.09820246737683765,-0.013167519957726652,nan,1.1260413173841763,nan
0.66,0.09152878234213288,-0.013585708757716149,nan,1.1636340925992399,nan
0.68,0.08506893999519867,-0.009622977883627848,nan,1.2042520438233573,nan
0.7000000000000001,0.07616242908954488,-0.01527584152552993,nan,1.2512003562214316,nan
0.72,0.06757032226747685,-0.03507107136094127,nan,1.3189906284451691,nan
0.74,0.07045690834111173,-0.03251139008580024,nan,1.4090239142953715,nan
0.76,0.07273118564962895,-0.032788856873192745,nan,1.512427957148415,nan
0.78,0.0756848270192615,-0.03242822994580958,nan,1.6105344252753777,nan
0.8,0.07811243152219972,-0.033384503205486714,nan,1.6963862469903466,nan
0.8200000000000001,0.08045474290709131,-0.034761700624846424,nan,1.76268342604899,nan
0.84,0.08253139249811992,-0.0366807017815706,nan,1.8030621603981107,nan
0.86,0.08445730825275152,-0.03911326734868526,nan,1.8265629066550333,nan
0.88,0.08656338149750842,-0.04121411032769393,nan,1.8306794661440964,nan
0.9,0.08893092793978176,-0.042731266545978315,nan,1.8565024530679983,nan
0.92,0.0915976338628273,-0.04392808757608325,nan,1.8905996431300869,nan
0.9400000000000001,0.09442735573889222,-0.044912436440284996,nan,1.9098448411230602,nan
0.96,0.09728960521717708,-0.0457455082462739,nan,1.9266789516533884,nan
0.98,0.10041252292607947,-0.046356677047051,nan,1.946493764462092,nan
1.0,0.10360693924386827,-0.04713910873100753,nan,1.9927242577529551,nan
1.02,0.10669925657709267,-0.048038723254998715,nan,1.9929242577529573,nan
1.04,0.10977688162317867,-0.04874664004297072,nan,1.9931242577529584,nan
1.06,0.11291494534760162,-0.04885660792421503,nan,1.9933242584934372,nan
1.08,0.11580910952601675,-0.048908729199045,nan,1.9935242584934378,nan
1.1,0.11884209923483403,-0.04864536015069328,nan,1.9937242584934396,nan
1.12,0.12178637251208471,-0.048243356225240695,nan,1.9939242584934407,nan
1.1400000000000001,0.12443324269012734,-0.04774424586036682,nan,1.994124258493442,nan
1.16,0.12695127109972215,-0.0468093530609162,nan,1.9943242584934429,nan
1.18,0.12917396224023048,-0.04631887828383642,nan,1.9945242584934437,nan
1.2,0.13130016225336602,-0.04534258573450335,nan,1.9947242584934453,nan
1.22,0.13326975301572722,-0.044460574058700374,nan,1.9963189275143627,nan
1.24,0.13474947005291385,-0.04426306837823807,nan,2.0289941132560876,nan
1.26,0.13635107321338846,-0.043552840168319576,nan,2.0912642494116644,nan
1.28,0.1375394180279555,-0.04449464474062198,nan,2.137143385049841,nan
1.3,0.13847835870755004,-0.04598062369478649,nan,2.1751324949520523,nan
1.32,0.13957607760744573,-0.04685425528869115,nan,2.18305422556632,nan
1.34,0.1402080131856986,-0.04883319862549981,nan,2.183254225566321,nan
1.36,0.14076903893368917,-0.05009133475230693,nan,2.1834542255663214,nan
1.3800000000000001,0.141303166031535,-0.050253829763321795,nan,2.1836542255663214,nan
1.4000000000000001,0.1409902243470899,-0.05142653162381499,nan,2.183854225566322,nan
1.42,0.14062435581952065,-0.05079721502744074,nan,2.1840542255663222,nan
1.44,0.13943709782899558,-0.05031173335348388,nan,2.1842542255663226,nan
1.46,0.13697514727419513,-0.04943153103719433,nan,2.184454225566323,nan
1.48,0.1337790948705299,-0.04747076501982862,nan,2.1846542255663235,nan
1.5,0.12870970807395873,-0.04629193278983418,nan,2.184854225566324,nan
1.52,0.12296874106195953,-0.044704179685224596,nan,2.1850542255663243,nan
1.54,0.1157500725538506,-0.04238206098070607,nan,2.1852542255663248,nan
1.56,0.10678744057730345,-0.04139098427569244,nan,2.185454225566325,nan
1.58,0.09620563519421454,-0.040685785065377324,nan,2.1856565533416177,nan
1.6,0.08356030915775553,-0.040852863160935414,nan,2.1858565533416177,nan
1.62,0.018447563242430742,-0.015519353489063423,nan,1.8879292524566376,nan
1.6400000000000001,0.03888683022480861,-0.021816465732180046,nan,1.8889470599898923,nan
1.6600000000000001,0.060967817035112844,-0.02193149145563714,nan,1.8891475375037916,nan
1.68,0.07891219522036912,-0.01146053520144739,nan,1.8893475375049673,nan
1.7,0.08623285045330979,0.0048943046157576605,nan,1.8895479236074981,nan
1.72,0.08421646032346289,0.01437551485029517,nan,1.8897484368946484,nan
1.74,0.08171163908580988,0.009331217345278127,nan,1.8900445838925417,nan
1.76,0.07955653604917907,0.002491922121548416,nan,1.8902868421827852,nan
1.78,0.0774073823142463,-0.005486072487813424,nan,1.8904924879975677,nan
1.8,0.07516261837904047,-0.014184332915180071,nan,1.8906937753697133,nan
1.82,0.07248216395258661,-0.02275815584308672,nan,1.8908983302772628,nan
1.84,0.06849371958079147,-0.03289655668103316,nan,1.8910983429346662,nan
1.86,0.063695181784446,-0.0449184162665469,nan,1.8914514491620964,nan
1.8800000000000001,0.05842228782606744,-0.058844468020983656,nan,1.8916526203717339,nan
1.9000000000000001,0.05685700170349144,-0.07160186640960517,nan,1.89187358823988,nan
1.92,0.0636777630808334,-0.07891416909825179,nan,1.8920735886607376,nan
1.94,0.07741393493737658,-0.07851612780605113,nan,1.8922735886607376,nan
1.96,0.09131610978455697,-0.07148936367164606,nan,1.8924735886607476,nan
1.98,0.09989702039644485,-0.06277548214848401,nan,1.8926735886607478,nan
2.0,0.10245297780223478,-0.056850845255030896,nan,1.8928735886607477,nan
2.02,0.10070538807937984,-0.05481479142037719,nan,1.8930735886607477,nan
2.04,0.0966863266012311,-0.05623598980805955,nan,1.8932735887112235,nan
2.06,0.09186187523736038,-0.059644687633748264,nan,1.8934735887112233,nan
2.08,0.08687143616644512,-0.06421571889287618,nan,1.8936735887117588,nan
2.1,0.08193573428191102,-0.06941081384935532,nan,1.893873588721475,nan
2.12,0.07749403049260187,-0.07477807793000817,nan,1.8941316252278977,nan
2.14,0.07300722277892925,-0.08095422421705997,nan,1.8943316252280302,nan
2.16,0.06862230357101,-0.0876817814080241,nan,1.8945316274686324,nan
2.18,0.0637455134787446,-0.09553721854039265,nan,1.8947388325845347,nan
2.2,0.06050468159559856,-0.10335297534842178,nan,1.8949388509516565,nan
2.22,0.05902830748889283,-0.11092868062150354,nan,1.8951388509846796,nan
2.24,0.06088457325953437,-0.1176620509929514,nan,1.8953388509846796,nan
2.2600000000000002,0.06689051220231952,-0.1230775573198819,nan,1.8955388509846796,nan
2.2800000000000002,0.08474604676723496,-0.12013768586939286,nan,1.895738851022249,nan
2.3000000000000003,0.1013373984155391,-0.11312387255213605,nan,1.895938851022249,nan
2.32,0.1098216244567549,-0.10847970052469612,nan,1.896138851022249,nan
2.34,0.11038568163383145,-0.1099377711670369,nan,1.896338851022249,nan
2.36,0.1059945490428476,-0.11617311802997174,nan,1.896538851022249,nan
2.38,0.09883229042627051,-0.12565017715668456,nan,1.896738851022249,nan
2.4,0.086790165595155,-0.13963232316134405,nan,1.896938851022249,nan
2.42,0.07658815515875336,-0.15334626393839518,nan,1.8971388510222489,nan
2.44,0.09857528908944035,-0.1494886797014468,nan,1.8973388510222489,nan
2.46,0.1209574712761573,-0.13986617150500907,nan,1.8975388510222488,nan
2.48,0.1396479516713626,-0.1262734481725983,nan,1.8977388510222488,nan
2.5,0.15190490483471025,-0.11286529589114422,nan,1.8979388510222495,nan
2.52,0.15963530607430654,-0.09968563467222692,nan,1.8981388510222506,nan
2.54,0.16432027344247171,-0.08626738755519499,nan,1.8983388510222916,nan
2.56,0.16505708569375788,-0.07473482644001433,nan,1.9061384949566793,nan
2.58,0.1636608499468418,-0.06471598914774267,nan,1.9375013383888466,nan
2.6,0.1604042214016512,-0.055795547663194736,nan,1.9826572768878525,nan
2.62,0.1558643384688642,-0.048622820627550294,nan,2.0339662305687063,nan
2.64,0.1497031059069479,-0.0448193150280025,nan,2.083256291837203,nan
2.66,0.14313651149768686,-0.04126022594103279,nan,2.112300094721544,nan
2.68,0.13618305360130764,-0.038419866022859364,nan,2.136462620625269,nan
2.7,0.12913949069799818,-0.03671500175315047,nan,2.1643599775140463,nan
2.72,0.12177018505179836,-0.0365608311059864,nan,2.19731668932286,nan
2.74,0.11460755493754723,-0.03646429934548454,nan,2.222342305677656,nan
2.7600000000000002,0.10776496695784223,-0.03644420499698094,nan,2.239089396202172,nan
2.7800000000000002,0.10093999543135583,-0.036910374757123145,nan,2.2412796194883944,nan
2.8000000000000003,0.09419492344040593,-0.038011536335584926,nan,2.2613637652646013,nan
2.82,0.08782383034702727,-0.03908255686541008,nan,2.2782222282660047,nan
2.84,0.08186987600844409,-0.03946495507681695,nan,2.2799048779658264,nan
2.86,0.07611592026226517,-0.03931922797429826,nan,2.295539491011813,nan
2.88,0.07035340187479205,-0.03910025890403688,nan,2.3065143480757477,nan
2.9,0.06420274141315377,-0.0390210978244627,nan,2.306714348075748,nan
2.92,0.05819303814435101,-0.038459809724170096,nan,2.3069143480757486,nan
2.94,0.052339870080711524,-0.037387608734937273,nan,2.307114348075749,nan
2.96,0.0461354329584372,-0.0363547994582331,nan,2.3073143480757494,nan
2.98,0.03981936874781505,-0.03536918654066656,nan,2.30751434807575,nan
3.0,0.033713771938199494,-0.034012370655957525,nan,2.3077143480757503,nan
3.02,0.027215041001045503,-0.032675245665232305,nan,2.3079143480757507,nan
3.04,0.020635030908805342,-0.03133912903334046,nan,2.3081143480778925,nan
3.06,0.01408946890088134,-0.030364364883621896,nan,2.308314348077904,nan
3.08,0.009509947758394578,-0.02930757992930689,nan,2.308588054714626,nan
3.1,0.008887687008604869,-0.028063014815645486,nan,2.308788065200948,nan
3.12,0.011124455051860611,-0.026804373789732917,nan,2.3089880652009485,nan
3.14,0.0137515936728659,-0.02547555618800892,nan,2.309188065200949,nan
3.16,0.015445142434371015,-0.024085591040635346,nan,2.3093880652009493,nan
3.18,0.015570074995087096,-0.022928534329406586,nan,2.3095880652009497,nan
3.2,0.014522239879721753,-0.02235105247506556,nan,2.30978806520095,nan
3.22,0.012653141574397236,-0.022336797202677543,nan,2.3099880652009506,nan
3.24,0.010288520136067592,-0.022888615762731625,nan,2.310188065200951,nan
3.2600000000000002,0.00848369779471694,-0.024079738342739673,nan,2.3103880652009514,nan
3.2800000000000002,0.00825624820866087,-0.025711359276013906,nan,2.310588065200952,nan
3.3000000000000003,0.010097044258814641,-0.02792720040521219,nan,2.3107880652009523,nan
3.3200000000000003,0.013683556237934782,-0.0307569015804075,nan,2.3109880652009527,nan
3.34,0.018329086823908755,-0.0344450475126348,nan,2.311188065200953,nan
3.36,0.023531926879479723,-0.03926410308925412,nan,2.3113880652009535,nan
3.38,0.028883605600122444,-0.04530496029727258,nan,2.311588065200954,nan
3.4,0.0349330140457783,-0.05185265353132723,nan,2.3117880652009544,nan
3.42,0.04058270449990825,-0.05865647250913727,nan,2.311988065200955,nan
3.44,0.044532224909200814,-0.0665976913005737,nan,2.312188065200955,nan
3.46,0.04754635650599809,-0.07568451242438436,nan,2.3123880652009556,nan
3.48,0.05000041767386727,-0.08547731460739014,nan,2.312588065200956,nan
3.5,0.04919297730552581,-0.09749972600038237,nan,2.3127880652009565,nan
3.52,0.036023737589723326,-0.11443271059779417,nan,2.312988065200957,nan
3.54,0.04535382602042879,-0.12563928431203425,nan,2.3131880652009573,nan
3.56,0.027970485183618124,-0.15304368507060148,nan,2.3133880652009577,nan
3.58,0.02166849611719041,-0.18134735915147818,nan,2.313588065200958,nan
3.6,0.031145066607974326,-0.21061998797849812,nan,2.3137880652009586,nan
3.62,0.031655366029337134,-0.24346979818099737,nan,2.313988065200959,nan
3.64,0.18973565503796336,-0.19236705970703905,nan,2.3141880652009594,nan
3.66,0.20806389840589104,-0.20408626696260943,nan,2.31438806520096,nan
3.68,0.23629773749363897,-0.2045652066663164,nan,2.3145880652009603,nan
3.7,0.287578342843782,-0.16484442634334184,nan,2.3147880652009607,nan
3.72,0.33507980913198127,-0.07600456293521773,nan,2.314988065200961,nan
3.74,0.3390743248543084,0.058204519303710414,nan,2.3151880652009615,nan
