t,roll_cmd,pitch_cmd,yaw_cmd,thrust_cmd,a_theta
0.0,0.08950445856821153,0.5286777679350433,0.0,0.43021155626944757,0.5918313530340396
0.02,0.07581821881861546,0.2129886917457937,0.0,0.5366343593523271,0.010000000000738751
0.04,0.05137247038977619,0.28200658307929666,0.0,0.5625448137666891,0.7083236474955954
0.06,0.025257024996164543,0.26400355362968564,0.0,0.591770443498094,1.4596383639666157
0.08,0.009745727179288509,0.2958478713183512,0.0,0.4782062706910319,1.142874390354465
0.1,0.01956133008423615,0.2829242059448202,0.0,0.5267021571814805,0.1082125013566726
0.12,0.042570218050645134,0.29552213675925637,0.0,0.5131246148539254,0.010000000005874948
0.14,0.052783382967668435,0.30526018781084935,0.0,0.5150917495277698,0.010000000003743879
0.16,0.04339430070753492,0.3081076841868941,0.0,0.5142307082298985,0.010000000001932956
0.18,0.03345087889922081,0.2956776342924161,0.0,0.5164774915281383,0.010000000017669297
0.2,0.04157384836297531,0.28474698160475026,0.0,0.5216337946204178,0.4156637417388121
0.22,0.04742328372927226,0.2792372763807934,0.0,0.5288160327287582,0.9882820990474264
0.24,0.04842871543868574,0.2844924118686938,0.0,0.5290658948472297,1.6521342150110656
0.26,0.04221982572480853,0.28715479347038775,0.0,0.531122826542321,2.1173435353827115
0.28,0.047280704275951095,0.28348634492226726,0.0,0.533986502616497,2.701438050142141
0.3,0.05351519326203768,0.28051409546540934,0.0,0.5350109762288551,3.459468990391522
0.32,0.061017977525748,0.28254952178548587,0.0,0.5352922173781096,3.488116830683616
0.34,0.0616732083130685,0.27979393007825765,0.0,0.5375800388078641,3.392480318819928
0.36,0.05781088946328556,0.28003617868680813,0.0,0.5400191617752318,2.7784077780249667
0.38,0.0513508383326466,0.27585072613277967,0.0,0.5403968615166036,3.0888681092784678
0.4,0.04658291030215888,0.27588523462010606,0.0,0.5394734849225539,3.279429026053419
0.42,0.040651552796649726,0.2760704363944206,0.0,0.5410262883100498,2.898190709587629
0.44,0.05003113086577959,0.2751834713601819,0.0,0.5414116590567353,2.3898593544679008
0.46,0.05120312665101266,0.2696474064038878,0.0,0.5432230164035309,2.2985898086597194
0.48,0.039716278975310965,0.2665394820811309,0.0,0.5451253189353004,2.208600934027706
0.5,0.03670894464218389,0.26155641584928135,0.0,0.5464898030590696,2.38184902356382
