t,x,y,z,vx,vy,vz,ref_x,ref_y,ref_z,theta,s
0.0,-1.5853086709976196,0.8461562395095825,0.025961456820368767,0.008499099873006344,0.012573877349495888,-0.18846994638442993,nan,nan,nan,nan,nan
0.02,-1.585353970527649,0.8462889790534973,0.02068786881864071,-0.0184094849973917,0.0019114178139716387,-0.3582494556903839,nan,nan,nan,nan,nan
0.04,-1.5856680870056152,0.8464623093605042,0.012472495436668396,-0.0069213565438985825,0.010490314103662968,-0.4654105305671692,nan,nan,nan,nan,nan
0.06,-1.5854915380477905,0.8465398550033569,0.0022922144271433353,0.022221378982067108,0.0048762536607682705,-0.5478768348693848,nan,nan,nan,nan,nan
0.08,-1.5853254795074463,0.8465718030929565,-0.0010000000474974513,0.0020140360575169325,0.0005627269856631756,-0.0014448250876739621,nan,nan,nan,nan,nan
0.1,-1.585241436958313,0.8465534448623657,-0.0010000000474974513,0.0,0.0,0.0,nan,nan,nan,nan,nan
0.12,-1.584809422492981,0.84641432762146,-0.0009685744298622012,0.057528432458639145,-0.019734568893909454,-0.004119746387004852,nan,nan,nan,nan,nan
0.14,-1.5830498933792114,0.846024751663208,-0.0008717585005797446,0.13267621397972107,-0.021776551380753517,0.010552733205258846,nan,nan,nan,nan,nan
0.16,-1.5797765254974365,0.8453823924064636,-0.00038764270721003413,0.20766431093215942,-0.046257320791482925,0.04268037900328636,nan,nan,nan,nan,nan
0.18,-1.5749669075012207,0.8444645404815674,0.0007236183737404644,0.28220510482788086,-0.06116560101509094,0.07554715871810913,nan,nan,nan,nan,nan
0.2,-1.5684865713119507,0.842960774898529,0.0026811680290848017,0.37290674448013306,-0.08549804985523224,0.12982796132564545,nan,nan,nan,nan,nan
0.22,-1.5600463151931763,0.8408889174461365,0.005744128488004208,0.47403421998023987,-0.12199244648218155,0.18805620074272156,nan,nan,nan,nan,nan
0.24,-1.5498440265655518,0.8382149338722229,0.009944689460098743,0.5573192238807678,-0.1472526639699936,0.2342645525932312,nan,nan,nan,nan,nan
0.26,-1.5378837585449219,0.8349787592887878,0.014957645907998085,0.6531650424003601,-0.175903782248497,0.27539023756980896,nan,nan,nan,nan,nan
0.28,-1.5238393545150757,0.8312824368476868,0.02097288891673088,0.7546389698982239,-0.19521187245845795,0.32614755630493164,nan,nan,nan,nan,nan
0.3,-1.5079891681671143,0.8270964622497559,0.027905916795134544,0.8346685171127319,-0.22157205641269684,0.3665250241756439,nan,nan,nan,nan,nan
0.32,-1.4904975891113281,0.8224802613258362,0.035628169775009155,0.936408281326294,-0.24454979598522186,0.40979570150375366,nan,nan,nan,nan,nan
0.34,-1.4708328247070312,0.8174683451652527,0.044398579746484756,1.0358026027679443,-0.2665282189846039,0.47397714853286743,nan,nan,nan,nan,nan
0.36,-1.4492833614349365,0.8119062781333923,0.05423888936638832,1.13690185546875,-0.29508787393569946,0.5178136825561523,nan,nan,nan,nan,nan
0.38,-1.425687551498413,0.805881679058075,0.06488291919231415,1.2239916324615479,-0.31272202730178833,0.5480285882949829,nan,nan,nan,nan,nan
0.4,-1.4004005193710327,0.7995921969413757,0.07625988870859146,1.3087421655654907,-0.31593218445777893,0.5937348008155823,nan,nan,nan,nan,nan
0.42,-1.3734214305877686,0.7931760549545288,0.08844947814941406,1.4000791311264038,-0.32358428835868835,0.6309298276901245,nan,nan,nan,nan,nan
0.44,-1.3445048332214355,0.786641538143158,0.10163256525993347,1.5005594491958618,-0.3332953155040741,0.6916440725326538,nan,nan,nan,nan,nan
0.46,-1.3136314153671265,0.7800101637840271,0.1156575009226799,1.5837379693984985,-0.3289555609226227,0.7109057903289795,nan,nan,nan,nan,nan
0.48,-1.2810918092727661,0.7736310362815857,0.13006897270679474,1.6710656881332397,-0.3150573670864105,0.7358148097991943,nan,nan,nan,nan,nan
0.5,-1.2468955516815186,0.7673274278640747,0.14510786533355713,1.75039541721344,-0.3142504096031189,0.7685382962226868,nan,nan,nan,nan,nan
0.52,-1.2113176584243774,0.7611746788024902,0.16076554358005524,1.806657075881958,-0.3047538995742798,0.7998332977294922,nan,nan,nan,nan,nan
0.54,-1.1746858358383179,0.7550088763237,0.17706094682216644,1.8619714975357056,-0.3141537606716156,0.8264511227607727,nan,nan,nan,nan,nan
0.56,-1.1368027925491333,0.7489286065101624,0.1939312219619751,1.9263513088226318,-0.29264673590660095,0.8538506627082825,nan,nan,nan,nan,nan
0.58,-1.0979195833206177,0.7429912686347961,0.2110724151134491,1.9793468713760376,-0.30183809995651245,0.8647167086601257,nan,nan,nan,nan,nan
0.6,-1.057963490486145,0.7370274066925049,0.2285827249288559,2.0225536823272705,-0.29692956805229187,0.8817282319068909,nan,nan,nan,nan,nan
0.62,-1.017037272453308,0.7311680912971497,0.24653351306915283,2.0781993865966797,-0.29070642590522766,0.9099456071853638,nan,nan,nan,nan,nan
0.64,-0.9751077890396118,0.7254334688186646,0.26474177837371826,2.1166539192199707,-0.28764188289642334,0.9129065871238708,nan,nan,nan,nan,nan
0.66,-0.9323292374610901,0.7196404337882996,0.28305405378341675,2.151620864868164,-0.28932175040245056,0.932598888874054,nan,nan,nan,nan,nan
0.68,-0.8891153931617737,0.7139080166816711,0.30178922414779663,2.1784653663635254,-0.2798284590244293,0.9429309964179993,nan,nan,nan,nan,nan
0.7,-0.8453876376152039,0.7084270119667053,0.32066747546195984,2.200101852416992,-0.2680610418319702,0.9372674226760864,nan,nan,nan,nan,nan
0.72,-0.801406979560852,0.7031593918800354,0.33955663442611694,2.2030882835388184,-0.263558030128479,0.9526790380477905,nan,nan,nan,nan,nan
0.74,-0.757148027420044,0.6979123950004578,0.3589511215686798,2.224797010421753,-0.26390963792800903,0.9839480519294739,nan,nan,nan,nan,nan
0.76,-0.7126291990280151,0.6927120089530945,0.3786068856716156,2.2285404205322266,-0.255126029253006,0.9704981446266174,nan,nan,nan,nan,nan
0.78,-0.6680122017860413,0.687615156173706,0.3978036940097809,2.2283074855804443,-0.24996384978294373,0.959502637386322,nan,nan,nan,nan,nan
0.8,-0.6235955357551575,0.6826981902122498,0.4168066084384918,2.2077431678771973,-0.24121443927288055,0.9389382600784302,nan,nan,nan,nan,nan
0.82,-0.5793470144271851,0.6779566407203674,0.4355408549308777,2.211364269256592,-0.23082028329372406,0.9250631928443909,nan,nan,nan,nan,nan
0.84,-0.5350898504257202,0.673200786113739,0.4539887011051178,2.2208549976348877,-0.24134202301502228,0.9127726554870605,nan,nan,nan,nan,nan
0.86,-0.4906696379184723,0.668309211730957,0.4719993770122528,2.2117903232574463,-0.2381407916545868,0.8894949555397034,nan,nan,nan,nan,nan
0.88,-0.4465850591659546,0.6634628176689148,0.48969975113868713,2.198760747909546,-0.23889346420764923,0.8831833004951477,nan,nan,nan,nan,nan
0.9,-0.4026739299297333,0.6586663126945496,0.5072312951087952,2.187178134918213,-0.24041280150413513,0.8719937801361084,nan,nan,nan,nan,nan
0.92,-0.3589728772640228,0.6537607908248901,0.5244804620742798,2.1708321571350098,-0.24632996320724487,0.8524752855300903,nan,nan,nan,nan,nan
0.94,-0.3158866763114929,0.6488146781921387,0.5414827466011047,2.1356515884399414,-0.2563326954841614,0.8366590738296509,nan,nan,nan,nan,nan
0.96,-0.27362945675849915,0.6435686945915222,0.5580344796180725,2.0902650356292725,-0.28201285004615784,0.815422534942627,nan,nan,nan,nan,nan
0.98,-0.23209546506404877,0.6376866102218628,0.5740137100219727,2.068873167037964,-0.30826854705810547,0.784656822681427,nan,nan,nan,nan,nan
1.0,-0.19093680381774902,0.6312066316604614,0.5894076228141785,2.047523260116577,-0.3454676568508148,0.759980320930481,nan,nan,nan,nan,nan
1.02,-0.150254487991333,0.6240552663803101,0.6043969392776489,2.0115129947662354,-0.36855316162109375,0.7337612509727478,nan,nan,nan,nan,nan
1.04,-0.11030493676662445,0.6161860227584839,0.6186800599098206,1.9824893474578857,-0.42089879512786865,0.6908636093139648,nan,nan,nan,nan,nan
1.06,-0.07084650546312332,0.6072043776512146,0.6320961117744446,1.9522773027420044,-0.485205739736557,0.652646541595459,nan,nan,nan,nan,nan
1.08,-0.032051071524620056,0.5970824956893921,0.6444287300109863,1.920866847038269,-0.540480375289917,0.5764054656028748,nan,nan,nan,nan,nan
1.1,0.005908406339585781,0.5856469869613647,0.6555574536323547,1.8741228580474854,-0.6148636937141418,0.5238453149795532,nan,nan,nan,nan,nan
1.12,0.04304061830043793,0.5727419853210449,0.6655596494674683,1.8380416631698608,-0.6936008930206299,0.4723780155181885,nan,nan,nan,nan,nan
1.14,0.07933327555656433,0.5581964254379272,0.6745890378952026,1.7916607856750488,-0.7672855854034424,0.4204118847846985,nan,nan,nan,nan,nan
1.16,0.11483635753393173,0.5422468185424805,0.6826011538505554,1.760994791984558,-0.8380513787269592,0.37451601028442383,nan,nan,nan,nan,nan
1.18,0.14967350661754608,0.5245283842086792,0.6894441843032837,1.7160850763320923,-0.9498623013496399,0.31370219588279724,nan,nan,nan,nan,nan
1.2,0.18384279310703278,0.5046533942222595,0.6952468752861023,1.695415735244751,-1.0428402423858643,0.2663043439388275,nan,nan,nan,nan,nan
1.22,0.217586949467659,0.4832881987094879,0.700076162815094,1.6810786724090576,-1.1074392795562744,0.21076130867004395,nan,nan,nan,nan,nan
1.24,0.25108444690704346,0.46053463220596313,0.7037820816040039,1.6672873497009277,-1.172999620437622,0.15286561846733093,nan,nan,nan,nan,nan
1.26,0.2841451168060303,0.43648257851600647,0.7064782977104187,1.6319369077682495,-1.242334246635437,0.12364757061004639,nan,nan,nan,nan,nan
